"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\83_G2.d" ,"6" ,1.162,1.217,1.328,19.76,62.71,21.82,40.88,8.47,0.166,0.049,-0.36,-0.18,1.157,1.162,1.327,1.332,-0.36,-0.18,1.57,19.46,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\83_G2.d" ,"7" ,3.182,3.296,3.442,23.36,141.35,49.19,48.34,19.09,0.260,0.095,-0.97,-0.36,3.162,3.167,3.494,3.496,-0.97,-0.36,1.25,22.66,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\83_G2.d" ,"8" ,3.501,3.592,3.705,23.02,108.88,37.89,47.62,14.70,0.204,0.075,-0.79,-1.12,3.494,3.496,3.709,3.724,-0.79,-1.12,1.13,22.08,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\83_G2.d" ,"9" ,7.094,7.289,7.505,19.80,287.34,100.00,40.97,38.80,0.411,0.302,-1.19,16.41,7.025,7.033,7.505,7.509,-1.19,16.41,1.85,26.97,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\84_G3.d"," DAD1 - B:Sig=260,4  Ref=360,60 84_G3.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\84_G3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\84_G3.d" ,"1" ,0.362,0.379,0.392,20.47,22.99,8.09,51.08,2.80,0.030,0.033,-0.92,-30.87,0.354,0.355,0.394,0.395,-0.92,-30.87,0.39,3.14,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\84_G3.d" ,"2" ,0.408,0.426,0.480,10.94,27.05,9.53,27.29,3.30,0.071,0.039,-0.33,2.16,0.394,0.395,0.466,0.485,-0.33,-0.33,3.34,10.61,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\84_G3.d" ,"3" ,0.480,0.508,0.561,11.52,27.66,9.74,28.75,3.37,0.081,0.035,2.16,0.73,0.466,0.485,0.553,0.566,-0.33,-0.33,1.17,11.19,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\84_G3.d" ,"4" ,0.561,0.577,0.589,2.82,3.64,1.28,7.03,0.44,0.028,0.025,0.73,1.62,0.553,0.566,0.582,0.591,-0.33,-0.33,0.60,2.49,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\84_G3.d" ,"5" ,0.589,0.605,0.676,40.08,57.04,20.08,100.00,6.95,0.087,0.019,1.62,0.46,0.582,0.591,0.741,0.746,-0.15,-0.10,3.08,39.94,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\84_G3.d" ,"6" ,1.167,1.219,1.328,15.48,49.28,17.35,38.62,6.00,0.162,0.049,-0.33,-0.22,1.161,1.163,1.326,1.335,-0.33,-0.22,1.60,15.18,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\84_G3.d" ,"7" ,3.182,3.301,3.465,18.92,115.52,40.67,47.21,14.07,0.284,0.095,-1.03,-0.76,3.157,3.169,3.491,3.494,-1.03,-0.76,1.27,18.00,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\84_G3.d" ,"8" ,3.504,3.595,3.707,18.49,85.70,30.18,46.13,10.44,0.203,0.073,-0.93,-1.25,3.495,3.502,3.717,3.719,-0.93,-1.25,1.12,17.42,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\84_G3.d" ,"9" ,7.105,7.291,7.505,19.59,284.00,100.00,48.87,34.59,0.400,0.302,-0.41,16.41,7.026,7.030,7.505,7.509,-0.41,16.41,1.83,27.00,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\84_G3.d" ,"10" ,7.506,7.516,8.026,3.49,148.08,52.14,8.71,18.04,0.520,0.092,15.87,2.36,7.505,7.509,8.854,8.857,15.87,1.97,15.85,19.12,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\85_G4.d"," DAD1 - B:Sig=260,4  Ref=360,60 85_G4.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\85_G4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\85_G4.d" ,"1" ,0.361,0.379,0.393,17.53,19.76,6.93,47.30,3.05,0.032,0.034,-0.97,-24.06,0.353,0.355,0.395,0.396,-0.97,-24.06,0.36,3.49,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\85_G4.d" ,"2" ,0.409,0.427,0.483,9.50,23.68,8.30,25.64,3.65,0.074,0.038,-0.36,1.81,0.395,0.396,0.466,0.489,-0.36,-0.36,3.59,9.14,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\85_G4.d" ,"3" ,0.483,0.510,0.561,9.75,23.03,8.08,26.30,3.55,0.078,0.034,1.81,0.75,0.466,0.489,0.553,0.567,-0.36,-0.36,1.28,9.39,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\85_G4.d" ,"4" ,0.561,0.577,0.589,2.52,3.20,1.12,6.81,0.49,0.027,0.026,0.75,1.32,0.553,0.567,0.581,0.591,-0.36,-0.36,0.57,2.16,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\85_G4.d" ,"5" ,0.589,0.605,0.661,37.06,50.62,17.75,100.00,7.81,0.073,0.019,1.32,0.09,0.581,0.591,0.658,0.670,-0.03,0.06,2.92,37.05,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\85_G4.d" ,"6" ,1.164,1.220,1.330,14.98,47.19,16.55,40.43,7.28,0.166,0.048,-0.36,-0.24,1.156,1.165,1.329,1.335,-0.36,-0.24,1.61,14.66,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\85_G4.d" ,"7" ,3.179,3.303,3.497,18.15,113.03,39.63,48.98,17.44,0.318,0.096,-1.07,-0.98,3.176,3.179,3.496,3.499,-1.07,-0.98,1.26,17.12,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\85_G4.d" ,"8" ,3.512,3.598,3.725,17.69,82.59,28.96,47.75,12.74,0.213,0.073,-0.88,-1.36,3.496,3.499,3.723,3.726,-0.88,-1.36,1.13,16.62,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\85_G4.d" ,"9" ,7.102,7.289,7.505,19.70,285.18,100.00,53.15,43.99,0.403,0.302,-0.62,16.40,7.029,7.031,7.505,7.509,-0.62,16.40,1.86,26.99,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\86_G5.d"," DAD1 - B:Sig=260,4  Ref=360,60 86_G5.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\86_G5.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\86_G5.d" ,"1" ,0.363,0.378,0.392,20.90,23.19,8.16,59.38,3.60,0.029,0.032,-0.73,-32.94,0.354,0.355,0.394,0.394,-0.73,-32.94,0.39,3.14,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\86_G5.d" ,"2" ,0.408,0.425,0.481,11.95,30.06,10.58,33.96,4.67,0.073,0.039,-0.35,2.44,0.394,0.394,0.468,0.486,-0.35,-0.35,3.74,11.60,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\86_G5.d" ,"3" ,0.481,0.509,0.561,11.62,28.88,10.16,33.01,4.49,0.080,0.036,2.44,0.96,0.468,0.486,0.554,0.566,-0.35,-0.35,1.37,11.27,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\86_G5.d" ,"4" ,0.561,0.576,0.589,3.33,4.26,1.50,9.45,0.66,0.028,0.026,0.96,1.77,0.554,0.566,0.583,0.591,-0.35,-0.35,0.64,2.98,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\86_G5.d" ,"5" ,0.589,0.605,0.661,35.19,48.93,17.22,100.00,7.60,0.072,0.019,1.77,0.06,0.583,0.591,0.658,0.670,-0.07,0.01,2.99,35.14,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\86_G5.d" ,"6" ,1.162,1.221,1.331,13.61,43.84,15.43,38.67,6.81,0.170,0.050,-0.36,-0.24,1.159,1.164,1.329,1.333,-0.36,-0.24,1.55,13.29,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\86_G5.d" ,"7" ,3.179,3.301,3.485,16.82,104.42,36.75,47.78,16.22,0.305,0.096,-1.06,-0.97,3.177,3.179,3.484,3.487,-1.06,-0.97,1.31,15.79,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\86_G5.d" ,"8" ,3.503,3.597,3.703,16.44,75.95,26.73,46.70,11.80,0.200,0.073,-1.00,-1.25,3.496,3.500,3.721,3.723,-1.00,-1.25,1.09,15.32,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\86_G5.d" ,"9" ,7.103,7.287,7.505,19.74,284.16,100.00,56.08,44.14,0.402,0.302,-0.53,16.46,7.027,7.033,7.505,7.509,-0.53,16.46,1.91,26.98,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\87_G6.d"," DAD1 - B:Sig=260,4  Ref=360,60 87_G6.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\87_G6.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\87_G6.d" ,"1" ,0.362,0.379,0.392,21.70,24.05,8.40,53.88,3.52,0.030,0.033,-0.62,-33.02,0.353,0.354,0.394,0.395,-0.62,-33.02,0.38,3.53,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\87_G6.d" ,"2" ,0.409,0.426,0.482,11.43,28.72,10.03,28.37,4.20,0.073,0.039,-0.38,2.15,0.394,0.395,0.468,0.487,-0.38,-0.39,3.54,11.05,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\87_G6.d" ,"3" ,0.482,0.511,0.560,11.42,28.90,10.09,28.35,4.23,0.078,0.037,2.15,1.24,0.468,0.487,0.554,0.565,-0.39,-0.41,1.25,11.02,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\87_G6.d" ,"4" ,0.560,0.576,0.588,3.66,4.77,1.66,9.08,0.70,0.028,0.027,1.24,1.99,0.554,0.565,0.582,0.590,-0.41,-0.42,0.64,3.24,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\87_G6.d" ,"5" ,0.588,0.604,0.659,40.28,56.48,19.73,100.00,8.27,0.071,0.019,1.99,0.12,0.582,0.590,0.655,0.668,-0.42,-0.43,3.01,39.86,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\87_G6.d" ,"6" ,0.659,0.679,0.739,0.98,3.59,1.25,2.44,0.52,0.080,0.073,0.12,-0.06,0.655,0.668,0.739,0.740,-0.43,-0.45,2.64,0.54,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\87_G6.d" ,"7" ,1.164,1.219,1.324,15.06,48.49,16.94,37.38,7.10,0.159,0.050,-0.36,-0.20,1.160,1.165,1.323,1.326,-0.36,-0.20,1.62,14.75,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\87_G6.d" ,"8" ,3.179,3.301,3.490,18.77,116.88,40.83,46.59,17.11,0.311,0.096,-1.05,-0.96,3.176,3.179,3.489,3.491,-1.05,-0.96,1.31,17.76,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\87_G6.d" ,"9" ,3.501,3.598,3.710,18.24,85.08,29.72,45.28,12.45,0.209,0.073,-0.95,-1.29,3.494,3.505,3.716,3.726,-0.95,-1.29,1.10,17.14,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\87_G6.d" ,"10" ,7.097,7.289,7.505,19.80,286.25,100.00,49.15,41.90,0.408,0.302,-0.99,16.44,7.025,7.030,7.505,7.509,-0.99,16.44,1.88,26.99,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\88_G7.d"," DAD1 - B:Sig=260,4  Ref=360,60 88_G7.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\88_G7.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\88_G7.d" ,"1" ,0.355,0.378,0.384,5.09,4.31,1.51,14.65,0.68,0.029,0.014,-1.75,-1.59,0.354,0.355,0.394,0.394,-1.75,-1.59,0.30,3.47,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\88_G7.d" ,"2" ,0.407,0.425,0.477,13.82,36.03,12.65,39.80,5.65,0.070,0.043,-1.46,2.98,0.394,0.394,0.464,0.484,-1.46,-1.07,3.39,12.46,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\88_G7.d" ,"3" ,0.477,0.507,0.561,13.55,35.65,12.51,39.01,5.59,0.083,0.039,2.98,0.96,0.464,0.484,0.554,0.566,-1.07,-0.61,1.37,12.64,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\88_G7.d" ,"4" ,0.561,0.577,0.589,3.54,4.57,1.61,10.20,0.72,0.028,0.025,0.96,2.00,0.554,0.566,0.582,0.591,-0.61,-0.45,0.57,3.03,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\88_G7.d" ,"5" ,0.589,0.605,0.660,34.73,47.86,16.80,100.00,7.51,0.072,0.019,2.00,-0.05,0.582,0.591,0.660,0.661,-0.45,-0.05,2.85,34.37,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\88_G7.d" ,"6" ,1.165,1.220,1.321,13.65,43.86,15.40,39.30,6.88,0.156,0.050,-0.34,-0.23,1.157,1.160,1.320,1.325,-0.34,-0.23,1.57,13.35,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\88_G7.d" ,"7" ,3.183,3.300,3.491,16.69,103.71,36.41,48.06,16.27,0.308,0.096,-1.04,-1.00,3.171,3.176,3.494,3.498,-1.04,-1.00,1.32,15.66,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\88_G7.d" ,"8" ,3.503,3.596,3.706,16.53,76.58,26.88,47.60,12.01,0.202,0.073,-1.00,-1.29,3.494,3.498,3.713,3.716,-1.00,-1.29,1.12,15.40,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\88_G7.d" ,"9" ,7.104,7.289,7.505,19.72,284.86,100.00,56.80,44.69,0.401,0.302,-0.52,16.39,7.027,7.033,7.505,7.509,-0.52,16.39,1.87,27.00,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\89_G8.d"," DAD1 - B:Sig=260,4  Ref=360,60 89_G8.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\89_G8.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\89_G8.d" ,"1" ,0.362,0.379,0.392,19.62,21.52,7.59,51.55,3.28,0.030,0.033,-0.79,-27.70,0.353,0.355,0.394,0.395,-0.79,-27.70,0.36,3.71,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\89_G8.d" ,"2" ,0.408,0.425,0.482,11.59,28.97,10.22,30.46,4.41,0.074,0.038,-0.39,2.44,0.394,0.395,0.464,0.487,-0.39,-0.27,3.86,11.23,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\89_G8.d" ,"3" ,0.482,0.509,0.560,10.74,25.86,9.12,28.23,3.94,0.078,0.035,2.44,0.92,0.464,0.487,0.553,0.566,-0.27,-0.15,1.27,10.51,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\89_G8.d" ,"4" ,0.560,0.576,0.588,2.75,3.50,1.23,7.22,0.53,0.028,0.025,0.92,1.68,0.553,0.566,0.581,0.590,-0.15,-0.10,0.65,2.63,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\89_G8.d" ,"5" ,0.588,0.604,0.661,38.05,52.27,18.43,100.00,7.96,0.073,0.019,1.68,0.11,0.581,0.590,0.656,0.669,-0.10,0.01,3.02,37.98,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\89_G8.d" ,"6" ,1.161,1.219,1.314,14.59,46.39,16.35,38.33,7.06,0.153,0.049,-0.37,-0.18,1.158,1.161,1.314,1.316,-0.37,-0.18,1.57,14.29,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\89_G8.d" ,"7" ,3.176,3.301,3.490,18.08,113.00,39.84,47.51,17.21,0.315,0.096,-1.07,-0.97,3.166,3.172,3.489,3.501,-1.07,-0.97,1.27,17.05,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\89_G8.d" ,"8" ,3.500,3.596,3.701,17.53,81.44,28.71,46.06,12.40,0.201,0.073,-0.97,-1.23,3.489,3.501,3.721,3.726,-0.97,-1.23,1.11,16.43,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\89_G8.d" ,"9" ,7.105,7.296,7.505,19.35,283.64,100.00,50.84,43.20,0.400,0.301,-0.42,16.43,7.024,7.034,7.505,7.509,-0.42,16.43,1.72,26.99,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\90_G9.d"," DAD1 - B:Sig=260,4  Ref=360,60 90_G9.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\90_G9.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\90_G9.d" ,"1" ,0.361,0.379,0.392,24.37,27.60,9.75,79.13,4.44,0.031,0.033,-0.89,-36.46,0.353,0.355,0.394,0.395,-0.89,-36.46,0.37,3.29,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\90_G9.d" ,"2" ,0.409,0.427,0.479,11.94,29.50,10.42,38.78,4.75,0.070,0.040,-0.40,2.32,0.394,0.395,0.466,0.484,-0.40,-0.40,3.20,11.54,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\90_G9.d" ,"3" ,0.479,0.509,0.561,12.59,32.14,11.36,40.89,5.17,0.082,0.037,2.32,1.08,0.466,0.484,0.554,0.566,-0.40,-0.40,1.33,12.19,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\90_G9.d" ,"4" ,0.561,0.577,0.590,3.59,4.76,1.68,11.67,0.77,0.029,0.027,1.08,1.92,0.554,0.566,0.584,0.592,-0.40,-0.40,0.64,3.19,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\90_G9.d" ,"5" ,0.590,0.606,0.663,30.79,43.08,15.22,100.00,6.93,0.073,0.019,1.92,-0.03,0.584,0.592,0.662,0.664,-0.18,-0.12,2.86,30.63,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\90_G9.d" ,"6" ,1.171,1.221,1.313,12.52,39.48,13.95,40.66,6.35,0.143,0.049,-0.30,-0.19,1.163,1.166,1.312,1.314,-0.30,-0.25,1.58,12.24,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\90_G9.d" ,"7" ,3.190,3.302,3.466,15.24,94.28,33.32,49.49,15.17,0.275,0.095,-1.02,-0.88,3.189,3.191,3.464,3.467,-1.08,-1.05,1.29,14.17,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\90_G9.d" ,"8" ,3.510,3.598,3.695,14.80,67.54,23.87,48.07,10.87,0.185,0.072,-1.00,-1.16,3.503,3.506,3.723,3.730,-1.00,-1.16,1.10,13.73,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\90_G9.d" ,"9" ,7.107,7.296,7.505,19.31,282.98,100.00,62.72,45.54,0.399,0.301,-0.31,16.44,7.024,7.031,7.505,7.509,-0.31,16.44,1.72,26.98,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\92_G10.d"," DAD1 - B:Sig=260,4  Ref=360,60 92_G10.d"
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\92_G10.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\92_G10.d" ,"1" ,0.362,0.379,0.393,19.67,22.01,7.78,53.12,3.16,0.030,0.033,-0.92,-29.57,0.354,0.355,0.395,0.395,-0.92,-29.57,0.38,3.05,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\Studies\Jingjing\121721_small RNA_EVO 150 test.s\92_G10.d" ,"2" ,0.409,0.426,0.481,10.60,26.01,9.19,28.64,3.74,0.073,0.038,-0.45,1.84,0.395,0.395,0.467,0.487,-0.45,-0.45,3.56,10.16,,,  ,,,,,,,,,,,,
